Frequency,0,2,102,31,30,41,51,22,25,3,1,3,192,50,8,,,,,,
Source Text,basemet,bunglow,delivery,downstair,front door,garage,garden,home,level,pavement,pickup,right now,stairs,storage,street level,,,,,,
1 desk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
"flat pack desk, cupboard, pedestal drawers",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
door step delivery,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
ground floor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
No number i'm afraid - i can wait here on the web,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
1 day bed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
"Yes, it is the frame for a single bed and 2 mattresses",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
"Ground floor to ground floor, it will be dismantled",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Keywords,Frequency,Rank
"Just the bed frame, which will be dismantled and the mattress",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,stairs,192,1
Specific time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,delivery,102,2
Yes please,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,garden,51,3
"Ok, I'll wait for your confirmation, thanks!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,storage,50,4
"Business move: 2 large printers (requiring four people to lift), shelving, storage units",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,garage,41,5
"first floor, no lift but wide staircase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,downstair,31,6
"first floor, no lift",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,front door,30,7
4 men,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,level,25,8
can you quote for two people then,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,home,22,9
Can I just confirm what that includes please?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,street level,8,10
"Ok sorry I don't think I was clear. It's a business move, so they are the main items but there would be more than that The items are quite large and heavy. I also forgot to mention one of the printers is round the corner in my house (L8 3UH) so would also need to add a pick up from there",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,pavement,3,11
"There's a paper drill, mainly boxes, 8 storage units, 2 desks",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,right now,3,11
50kg approx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,bungalow,2,13
